X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2
17,1995,4,0,0,0,No,NA,3,3,2,2,3,middle class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age1524,1,PostSec,1
18,1997,2,0,0,0,No,NA,1,2,2,2,2,working class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working full time,Age1524,2,PostSec,2
19,1998,1,0,0,0,No,NA,1,3,3,3,3,working class,0.37649626,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Student,Age1524,5,PostSec,0
20,1989,2,1,1,0,Yes,2,2,1,2,3,2,working class,0.233450399,West Midlands,Buddhist,Black Caribbean,2,NA,Working full time,Age2544,5,BachPlus,2
21,1990,7,1,1,1,Yes,3,5,4,4,3,3,affluent people,0.125,West Midlands,Catholic,Black Caribbean,4,Eth,Working full time,Age2544,6,BachPlus,4
22,1990,2,0,0,0,No,1,1,3,3,3,2,working class,0.125,West Midlands,Church of England,Black Caribbean,5,NA,Working part-time,Age2544,3,PostSec,5
23,1977,5,1,1,0,No,NA,1,4,3,4,3,middle class,0.125,West Midlands,Non-religious,Black Caribbean,2,Eth,Working full time,Age2544,6,BachPlus,2
24,1974,2,0,0,0,Yes,1,5,3,3,2,3,working class,0.125,West Midlands,Catholic,Black African,4,Ctl,Working full time,Age2544,4,PostSec,4
25,1978,4,1,1,0,Yes,2,3,3,3,3,3,middle class,0.125,West Midlands,Buddhist,Other ethnic group,3,Ctl,Working full time,Age2544,6,BachPlus,3
26,1980,7,1,0,1,No,1,3,2,2,1,3,affluent people,0.125,West Midlands,Church of England,Other ethnic group,2,Eth,Working full time,Age2544,5,BachPlus,2
27,1988,4,0,1,1,Yes,2,4,4,3,4,3,middle class,0.13974011,West Midlands,Muslim,Other ethnic group,3,NA,Working full time,Age2544,4,PostSec,3
28,1990,7,1,0,0,No,2,2,2,3,3,3,affluent people,0.543689337,West Midlands,Hindu,Indian,1,Eth,Working full time,Age2544,5,BachPlus,1
29,1984,3,1,1,1,Not Employed,2,2,3,3,3,4,middle class,0.543689337,West Midlands,Muslim,Indian,1,Eth,Working full time,Age2544,3,BachPlus,1
30,1978,6,1,1,1,No,4,3,3,2,2,3,affluent people,0.543689337,West Midlands,Muslim,Pakistani,1,NA,Working full time,Age2544,5,BachPlus,1
31,1989,2,0,0,1,No,2,3,3,3,2,2,working class,0.216677317,West Midlands,Muslim,Indian,2,Eth,On a long-term leave,Age2544,3,PostSec,2
32,1982,5,0,1,1,Yes,4,4,4,4,4,4,middle class,0.216677317,West Midlands,Muslim,Bangladeshi,1,Ctl,Working full time,Age2544,1,PostSec,1
33,1984,4,0,0,1,Yes,2,4,3,3,3,2,middle class,0.216677317,West Midlands,Muslim,Pakistani,3,Ctl,Working part-time,Age2544,4,PostSec,3
34,1990,7,1,0,0,Not Employed,3,3,3,3,4,2,affluent people,0.125,West Midlands,Hindu,Indian,3,Eth,Working full time,Age2544,4,BachPlus,3
35,1976,3,1,1,1,Yes,2,3,3,3,3,3,middle class,0.125,West Midlands,Muslim,Pakistani,2,Ctl,Working full time,Age2544,5,BachPlus,2
36,1987,5,0,1,1,No,4,3,2,2,2,3,middle class,0.143954131,West Midlands,Muslim,Pakistani,1,Eth,Working full time,Age2544,2,PostSec,1
37,1979,2,1,0,0,No,1,2,1,2,3,2,working class,0.201175902,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working full time,Age2544,5,BachPlus,2
38,1985,4,1,0,1,Yes,4,5,4,4,4,2,middle class,0.201175902,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,4,NA,Working full time,Age2544,6,BachPlus,4
39,1981,6,1,0,0,Yes,NA,NA,3,3,3,3,affluent people,0.201175902,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Eth,Working full time,Age2544,7,BachPlus,2
40,1985,5,1,0,1,Yes,2,3,2,2,2,2,middle class,0.201175902,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,3,Ctl,Working full time,Age2544,6,BachPlus,3
41,1976,6,1,1,0,No,NA,4,2,3,2,2,affluent people,0.201175902,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Ctl,Working full time,Age2544,6,BachPlus,1
42,1987,3,1,0,0,No,NA,2,3,3,3,3,middle class,0.201175902,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Ctl,Working full time,Age2544,5,BachPlus,1
43,1991,5,1,0,1,No,NA,1,1,1,2,1,middle class,0.201175902,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age2544,3,BachPlus,1
44,1981,5,1,1,1,No,1,1,3,2,3,3,middle class,0.201175902,West Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working part-time,Age2544,5,BachPlus,2
45,1985,1,0,0,0,Yes,NA,1,1,1,1,1,working class,0.713039839,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Other,Age2544,4,HS,0
46,1989,4,0,0,1,No,2,5,3,3,3,1,middle class,0.713039839,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working part-time,Age2544,6,HS,1
47,1978,4,0,1,1,Yes,1,3,2,3,3,2,middle class,0.713039839,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age2544,2,HS,2
48,1977,1,0,0,0,Not Employed,1,NA,2,2,2,2,working class,0.713039839,West Midlands,Muslim,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,"Unemployed, looking for work",Age2544,5,HS,0
49,1984,7,0,0,1,No,1,1,4,4,3,3,affluent people,0.713039839,West Midlands,Muslim,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working full time,Age2544,5,HS,1
50,1988,2,0,0,0,No,2,3,1,3,2,1,working class,0.252488655,West Midlands,Church of England,White - Irish,1,Eth,Working full time,Age2544,6,PostSec,1
51,1989,3,0,0,1,Yes,2,3,3,3,3,3,middle class,0.252488655,West Midlands,Church of England,White - Irish,NA,Ctl,Student,Age2544,3,PostSec,0
52,1976,2,0,0,1,No,1,4,1,3,4,3,working class,0.252488655,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,3,Eth,Working part-time,Age2544,5,PostSec,3
53,1975,4,0,0,0,No,NA,3,2,2,3,3,middle class,0.252488655,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working full time,Age2544,4,PostSec,1
54,1980,1,0,0,1,Yes,NA,4,4,3,3,4,working class,0.252488655,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,4,Eth,On a long-term leave,Age2544,5,PostSec,4
55,1975,5,0,0,1,No,2,1,2,3,2,3,middle class,0.252488655,West Midlands,Hindu,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working part-time,Age2544,7,PostSec,2
56,1979,5,0,1,0,No,NA,4,3,3,3,3,middle class,0.252488655,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age2544,6,PostSec,2
57,1980,1,0,0,0,Yes,2,3,3,3,2,3,working class,0.252488655,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,2,Eth,Working full time,Age2544,4,PostSec,2
58,1990,1,0,1,0,No,NA,NA,2,2,2,2,working class,0.252488655,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age2544,6,PostSec,2
59,1988,4,0,0,0,No,2,3,2,3,3,3,middle class,0.252488655,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,3,Ctl,Working full time,Age2544,3,PostSec,3
60,1988,7,0,0,1,No,2,1,1,2,2,2,affluent people,0.252488655,West Midlands,Church of England,Other white,2,Ctl,Working full time,Age2544,5,PostSec,2
61,1989,2,0,1,0,No,2,2,3,3,2,2,working class,0.474078818,West Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,3,Eth,Working part-time,Age2544,5,HS,3
62,1982,5,0,0,0,No,2,2,3,2,3,2,middle class,0.167771818,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,1,Ctl,Working full time,Age2544,3,PostSec,1
63,1983,4,0,0,1,Yes,NA,NA,4,1,3,4,middle class,0.167771818,West Midlands,Non-religious,White - Irish,4,Ctl,Working full time,Age2544,7,PostSec,4
64,1984,3,0,1,0,No,NA,1,2,3,3,2,middle class,0.167771818,West Midlands,Non-religious,Other white,2,Eth,Working full time,Age2544,3,PostSec,2
65,1966,4,1,0,0,No,4,2,3,3,3,3,middle class,0.218255425,West Midlands,Other Christian,Black Caribbean,3,NA,Working part-time,Age4564,6,BachPlus,3
66,1967,5,1,0,1,Not Employed,4,NA,3,3,2,3,middle class,0.125,West Midlands,Church of England,Black Caribbean,NA,NA,Other,Age4564,5,BachPlus,0
67,1963,6,0,1,1,Yes,2,5,3,3,3,1,affluent people,0.380434258,West Midlands,Sikh,Indian,1,Eth,Working full time,Age4564,2,HS,1
68,1959,1,0,0,1,No,4,2,3,4,3,2,working class,0.134572801,West Midlands,Catholic,Indian,NA,Ctl,Other,Age4564,2,PostSec,0
69,1964,7,1,1,1,No,2,2,2,3,3,3,affluent people,0.188077467,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,1,Ctl,Working full time,Age4564,4,BachPlus,1
70,1953,5,1,0,1,Not Employed,NA,1,2,2,2,2,middle class,0.188077467,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Retired,Age4564,3,BachPlus,0
71,1955,4,1,1,0,No,4,2,3,4,4,4,middle class,0.188077467,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Retired,Age4564,5,BachPlus,0
72,1964,6,1,0,1,No,NA,NA,2,2,2,2,affluent people,0.188077467,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Eth,Working full time,Age4564,5,BachPlus,2
73,1970,4,1,1,1,Yes,2,2,1,1,1,1,middle class,0.188077467,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,2,Eth,Working full time,Age4564,6,BachPlus,2
74,1970,4,1,0,1,No,1,2,3,3,2,3,middle class,0.188077467,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,3,NA,Working part-time,Age4564,3,BachPlus,3
75,1955,1,0,1,0,Not Employed,1,3,2,3,3,3,working class,0.666690922,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Other,Age4564,4,HS,0
76,1960,3,0,0,1,No,4,3,4,3,3,4,middle class,0.666690922,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,On a long-term leave,Age4564,2,HS,1
77,1955,1,0,1,0,Not Employed,2,3,2,3,3,3,working class,0.666690922,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Other,Age4564,4,HS,0
78,1959,4,0,1,1,No,1,3,1,3,4,3,middle class,0.666690922,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,"Unemployed, looking for work",Age4564,3,HS,0
79,1955,3,0,0,1,No,1,2,2,3,3,3,middle class,0.666690922,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Retired,Age4564,4,HS,0
80,1968,4,0,0,0,Yes,1,4,2,3,3,3,middle class,0.236056964,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age4564,5,PostSec,2
81,1971,6,0,0,1,No,NA,4,2,2,2,2,affluent people,0.236056964,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working part-time,Age4564,5,PostSec,1
82,1957,2,0,1,0,No,2,1,1,1,1,4,working class,0.236056964,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Retired,Age4564,1,PostSec,0
83,1960,2,0,0,0,Not Employed,NA,1,3,3,4,4,working class,0.236056964,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Retired,Age4564,5,PostSec,0
84,1970,4,0,1,0,Not Employed,1,1,2,3,3,3,middle class,0.236056964,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Other,Age4564,7,PostSec,0
85,1966,4,1,0,1,No,2,1,NA,NA,NA,NA,middle class,0.124932719,West Midlands,Jewish,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working part-time,Age4564,3,BachPlus,2
86,1952,6,1,0,1,Not Employed,1,3,2,3,2,3,affluent people,0.124932719,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Retired,Age4564,4,BachPlus,0
87,1942,7,1,1,0,Not Employed,2,2,3,3,4,4,affluent people,0.347457789,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Retired,Age65p,3,BachPlus,0
88,1947,4,1,1,1,Not Employed,NA,3,2,2,1,2,middle class,0.347457789,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Retired,Age65p,4,BachPlus,0
89,1944,7,0,0,1,No,4,3,3,4,2,3,affluent people,1.230659484,West Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Retired,Age65p,3,HS,0
90,1939,7,0,1,1,No,4,1,2,2,4,4,affluent people,0.435995987,West Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Retired,Age65p,3,PostSec,0
91,1939,4,0,1,1,No,NA,3,3,4,4,4,middle class,0.435995987,West Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Retired,Age65p,5,PostSec,0
92,1995,2,0,0,0,Not Employed,4,NA,4,2,3,4,working class,0.719438371,East Midlands,Muslim,Black African,1,Ctl,Working part-time,Age1524,4,PostSec,1
93,1995,5,1,1,1,Yes,2,1,1,2,3,3,middle class,0.125,East Midlands,Other Christian,Black Caribbean,2,NA,Working full time,Age1524,5,BachPlus,2
94,1996,5,1,1,0,No,3,NA,1,1,1,1,middle class,1.334517541,East Midlands,Hindu,Indian,NA,Ctl,Other,Age1524,7,BachPlus,0
95,1994,3,1,1,0,No,4,2,4,3,4,4,middle class,0.281967144,East Midlands,Muslim,Pakistani,2,Eth,Working full time,Age1524,4,BachPlus,2
96,1995,4,1,1,0,No,2,3,4,3,3,3,middle class,0.281967144,East Midlands,Hindu,Indian,1,Ctl,Working full time,Age1524,7,BachPlus,1
97,1996,2,1,1,0,Not Employed,2,3,3,2,3,3,working class,0.281967144,East Midlands,Hindu,Indian,NA,NA,"Unemployed, looking for work",Age1524,4,BachPlus,0
98,1999,7,0,0,1,No,4,NA,4,3,3,3,affluent people,1.950435712,East Midlands,Catholic,Other white,NA,Ctl,Student,Age1524,7,PostSec,0
99,1994,7,1,0,0,Yes,NA,3,3,1,3,4,affluent people,0.494222723,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working full time,Age1524,7,BachPlus,1
100,1998,3,1,1,0,No,NA,2,3,2,2,3,middle class,0.494222723,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Student,Age1524,4,BachPlus,0
101,1992,3,1,1,0,No,1,2,3,3,3,3,middle class,0.494222723,East Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,2,Eth,Working full time,Age1524,4,BachPlus,2
102,1995,6,1,0,0,No,NA,NA,3,1,3,2,affluent people,0.494222723,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age1524,3,BachPlus,2
103,1995,4,1,0,0,No,NA,3,NA,NA,NA,NA,middle class,0.494222723,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Other,Age1524,2,BachPlus,0
104,1997,1,1,0,0,No,1,1,1,1,3,2,working class,0.494222723,East Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,Student,Age1524,1,BachPlus,0
105,1992,3,1,0,0,Yes,NA,5,3,4,2,3,middle class,0.494222723,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working full time,Age1524,3,BachPlus,2
106,1992,4,0,0,1,Yes,NA,3,2,2,3,2,middle class,1.749988396,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working part-time,Age1524,4,HS,2
107,1997,6,0,0,1,No,1,1,1,1,1,1,affluent people,1.749988396,East Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,5,NA,Working part-time,Age1524,7,HS,5
108,1999,6,0,0,0,Yes,NA,1,4,3,1,2,affluent people,0.62010929,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Student,Age1524,2,PostSec,0
109,1993,2,0,1,0,No,NA,1,2,2,2,2,working class,0.62010929,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age1524,7,PostSec,1
110,1992,5,0,0,0,No,2,1,2,1,1,1,middle class,0.62010929,East Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age1524,3,PostSec,1
111,1999,2,0,0,0,No,NA,5,2,2,2,1,working class,0.62010929,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Ctl,Working full time,Age1524,4,PostSec,1
112,1998,1,0,0,0,No,NA,1,2,2,2,2,working class,0.62010929,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,"Unemployed, looking for work",Age1524,2,PostSec,0
113,1996,1,0,0,0,No,NA,3,2,2,2,2,working class,0.62010929,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Eth,"Unemployed, looking for work",Age1524,4,PostSec,0
114,1976,4,1,0,0,No,1,1,4,3,4,2,middle class,0.384619049,East Midlands,Other,Black Caribbean,1,Ctl,Working part-time,Age2544,5,BachPlus,1
115,1991,2,1,0,1,No,4,4,3,3,2,2,working class,0.384619049,East Midlands,Other Christian,Black African,3,Ctl,Working part-time,Age2544,3,BachPlus,3
116,1985,3,1,0,0,No,1,1,2,2,2,1,middle class,0.125,East Midlands,Other Christian,Black Caribbean,2,Eth,Working full time,Age2544,2,BachPlus,2
117,1975,4,0,0,1,Yes,2,3,3,2,2,2,middle class,0.978430869,East Midlands,Church of England,Other ethnic group,1,Ctl,Working full time,Age2544,5,HS,1
118,1987,7,1,0,1,No,2,2,3,3,1,2,affluent people,0.895352052,East Midlands,Hindu,Indian,2,NA,Working full time,Age2544,5,BachPlus,2
119,1987,1,1,0,1,No,4,2,3,3,4,3,working class,0.895352052,East Midlands,Muslim,Indian,NA,Eth,"Unemployed, looking for work",Age2544,2,BachPlus,0
120,1990,5,1,0,0,Not Employed,2,2,2,2,3,2,middle class,0.189056548,East Midlands,Muslim,Pakistani,2,NA,Working part-time,Age2544,3,BachPlus,2
121,1986,1,1,0,0,No,2,4,4,4,4,4,working class,0.189056548,East Midlands,Muslim,Indian,NA,Ctl,Student,Age2544,6,BachPlus,0
122,1981,1,0,0,0,No,1,NA,3,3,3,3,working class,0.670155408,East Midlands,Hindu,Indian,1,NA,Working part-time,Age2544,4,HS,1
123,1985,2,0,1,0,Yes,3,3,3,4,3,3,working class,0.237285199,East Midlands,Hindu,Indian,4,Eth,Working full time,Age2544,5,PostSec,4
124,1985,1,0,0,0,Not Employed,1,3,3,1,1,4,working class,0.237285199,East Midlands,Muslim,Bangladeshi,NA,Eth,"Unemployed, looking for work",Age2544,4,PostSec,0
125,1990,7,1,0,0,No,NA,4,3,2,3,2,affluent people,1.043091774,East Midlands,Non-religious,Other white,2,Ctl,Working part-time,Age2544,7,BachPlus,2
126,1985,4,1,0,0,Yes,NA,2,4,4,4,3,middle class,1.043091774,East Midlands,Non-religious,Other white,1,Eth,Working full time,Age2544,2,BachPlus,1
127,1973,3,1,0,1,No,NA,2,2,3,2,3,middle class,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Other,Age2544,5,BachPlus,0
128,1987,4,1,1,1,No,1,1,1,1,3,2,middle class,0.331486935,East Midlands,Catholic,Other white,3,Eth,Working full time,Age2544,7,BachPlus,3
129,1991,4,1,0,0,No,NA,2,3,3,3,3,middle class,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age2544,6,BachPlus,2
130,1976,5,1,1,1,No,NA,4,2,3,2,3,middle class,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age2544,4,BachPlus,1
131,1975,6,1,1,1,No,1,1,2,3,3,3,affluent people,0.331486935,East Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age2544,2,BachPlus,2
132,1982,7,1,0,1,Yes,1,3,2,3,2,1,affluent people,0.331486935,East Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age2544,5,BachPlus,1
133,1977,5,1,0,1,No,1,2,2,2,2,2,middle class,0.331486935,East Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,2,Ctl,Working full time,Age2544,4,BachPlus,2
134,1974,7,1,0,1,No,NA,2,3,3,3,3,affluent people,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,2,NA,Working full time,Age2544,5,BachPlus,2
135,1977,1,1,1,1,No,NA,3,2,3,2,2,working class,0.331486935,East Midlands,Non-religious,White - Irish,1,Ctl,Working part-time,Age2544,5,BachPlus,1
136,1986,6,1,1,1,No,NA,1,2,3,2,1,affluent people,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Ctl,Working full time,Age2544,4,BachPlus,1
137,1978,6,1,0,0,Yes,2,NA,2,3,2,2,affluent people,0.331486935,East Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working full time,Age2544,5,BachPlus,1
138,1983,5,1,1,1,Yes,4,1,4,4,4,3,middle class,0.331486935,East Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,4,NA,Working full time,Age2544,6,BachPlus,4
139,1990,5,1,0,0,Yes,2,4,3,3,3,3,middle class,0.331486935,East Midlands,Catholic,White - British/English/Welsh/Scottish/Northern Irish,3,Eth,Working full time,Age2544,6,BachPlus,3
140,1978,6,1,0,0,No,NA,1,3,2,3,2,affluent people,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,Eth,Working full time,Age2544,5,BachPlus,1
141,1980,3,1,1,0,No,NA,NA,2,2,3,2,middle class,0.331486935,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,4,Eth,Working full time,Age2544,4,BachPlus,4
142,1983,1,1,0,1,No,2,1,4,3,3,3,working class,0.331486935,East Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,On a long-term leave,Age2544,3,BachPlus,0
143,1987,2,0,0,0,No,1,NA,3,3,3,3,working class,1.17414649,East Midlands,Church of England,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,"Unemployed, looking for work",Age2544,4,HS,0
144,1980,1,0,0,0,No,3,2,3,3,2,2,working class,1.17414649,East Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,4,Ctl,Working full time,Age2544,3,HS,4
145,1990,6,0,0,0,Yes,NA,1,1,1,1,1,affluent people,1.17414649,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,1,NA,Working full time,Age2544,4,HS,1
146,1989,3,0,0,1,No,NA,5,2,2,2,2,middle class,1.17414649,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,"Unemployed, looking for work",Age2544,6,HS,0
147,1991,4,0,0,0,Yes,NA,1,3,3,3,1,middle class,1.17414649,East Midlands,Non-religious,White - Irish,1,NA,Working full time,Age2544,4,HS,1
148,1981,2,0,0,0,No,NA,1,3,3,3,3,working class,1.17414649,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,Other,Age2544,4,HS,0
149,1977,1,0,0,1,Not Employed,NA,1,4,3,2,4,working class,1.17414649,East Midlands,Non-religious,White - British/English/Welsh/Scottish/Northern Irish,NA,Ctl,"Unemployed, looking for work",Age2544,3,HS,0
150,1987,7,0,0,1,No,2,2,2,2,2,2,affluent people,0.415960911,East Midlands,Other Christian,White - British/English/Welsh/Scottish/Northern Irish,NA,NA,Other,Age2544,4,PostSec,0
