X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2
105,1964,7,1,1,1,No,NA,2,1,1,3,2,affluent people,0.368139244,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working full time,Age4564,4,BachPlus,1
106,1954,7,1,0,1,No,NA,4,1,2,2,2,affluent people,0.368139244,Baden-Wurttemberg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,BachPlus,1
107,1972,7,1,0,1,No,NA,3,1,2,2,2,affluent people,0.368139244,Baden-Wurttemberg,Non-religious,Germans,2,Eth,Working full time,Age4564,2,BachPlus,2
108,1965,7,1,1,1,No,2,3,4,4,3,4,affluent people,0.368139244,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working full time,Age4564,3,BachPlus,1
109,1967,7,1,0,1,Yes,4,3,2,2,3,3,affluent people,0.368139244,Baden-Wurttemberg,Protestant,Germans,1,Ctl,Working full time,Age4564,6,BachPlus,1
110,1961,7,1,0,1,No,2,3,3,4,4,4,affluent people,0.368139244,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age4564,1,BachPlus,1
111,1964,5,1,1,0,No,NA,3,2,2,2,2,middle class,0.368139244,Baden-Wurttemberg,Non-religious,Germans,1,Ctl,Working full time,Age4564,3,BachPlus,1
112,1966,5,1,1,0,No,NA,NA,1,1,1,1,middle class,0.368139244,Baden-Wurttemberg,Non-religious,Germans,2,Reg,Working full time,Age4564,5,BachPlus,2
113,1967,3,1,1,0,No,1,3,2,2,2,2,middle class,0.368139244,Baden-Wurttemberg,Protestant,Germans,2,Ctl,Working full time,Age4564,5,BachPlus,2
114,1952,2,1,1,1,Not Employed,NA,3,1,4,3,2,working class,0.368139244,Baden-Wurttemberg,Non-religious,Germans,NA,Eth,Retired,Age4564,1,BachPlus,0
115,1954,6,1,1,1,No,1,5,2,3,4,2,affluent people,0.368139244,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age4564,3,BachPlus,1
116,1964,3,1,1,0,No,2,NA,3,2,2,2,middle class,0.368139244,Baden-Wurttemberg,Protestant,Germans,2,Eth,Working part-time,Age4564,4,BachPlus,2
117,1963,5,1,1,1,No,2,5,2,2,2,1,middle class,0.368139244,Baden-Wurttemberg,Protestant,Germans,2,Ctl,Working full time,Age4564,4,BachPlus,2
118,1968,1,0,0,0,No,1,3,2,2,2,2,working class,1.074945029,Baden-Wurttemberg,Catholic,Germans,NA,Reg,Retired,Age4564,4,LessBach,0
119,1970,4,0,0,0,No,NA,NA,3,3,3,3,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,3,Eth,Working full time,Age4564,3,LessBach,3
120,1966,7,0,0,1,No,1,3,2,2,2,2,affluent people,1.074945029,Baden-Wurttemberg,Catholic,Germans,2,Ctl,Working full time,Age4564,3,LessBach,2
121,1967,4,0,1,1,No,1,2,2,2,2,2,middle class,1.074945029,Baden-Wurttemberg,Catholic,Germans,NA,Reg,Retired,Age4564,1,LessBach,0
122,1970,3,0,1,0,No,NA,2,4,4,3,4,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,2,Eth,Working full time,Age4564,7,LessBach,2
123,1955,6,0,0,1,No,1,NA,1,2,2,2,affluent people,1.074945029,Baden-Wurttemberg,Protestant,Germans,1,Ctl,Working part-time,Age4564,1,LessBach,1
124,1966,5,0,0,1,No,NA,3,1,1,1,1,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,1,Ctl,Working full time,Age4564,1,LessBach,1
125,1969,4,0,1,0,No,NA,1,2,2,2,3,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,LessBach,1
126,1952,1,0,1,0,No,NA,2,1,1,1,2,working class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,NA,Eth,Retired,Age4564,4,LessBach,0
127,1965,6,0,1,0,No,NA,3,1,2,4,3,affluent people,1.074945029,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working full time,Age4564,1,LessBach,1
128,1952,2,0,1,1,No,NA,1,3,2,2,2,working class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,NA,Eth,Retired,Age4564,3,LessBach,0
129,1952,5,0,0,1,No,2,2,3,4,4,4,middle class,1.074945029,Baden-Wurttemberg,Other,Germans,NA,Reg,Retired,Age4564,2,LessBach,0
130,1969,3,0,0,0,No,NA,5,1,3,2,2,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,2,Eth,Working part-time,Age4564,6,LessBach,2
131,1957,4,0,1,1,Not Employed,NA,3,1,4,4,4,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,NA,Reg,"Unemployed, looking for work",Age4564,3,LessBach,0
132,1954,2,0,1,0,No,2,4,3,4,3,4,working class,1.074945029,Baden-Wurttemberg,Protestant,Germans,1,Ctl,Working full time,Age4564,6,LessBach,1
133,1961,6,0,0,1,Yes,NA,1,1,3,3,3,affluent people,1.074945029,Baden-Wurttemberg,Non-religious,Germans,3,Ctl,Working full time,Age4564,3,LessBach,3
134,1962,5,0,0,1,No,1,3,2,3,4,3,middle class,1.074945029,Baden-Wurttemberg,Catholic,Germans,2,Reg,Working part-time,Age4564,1,LessBach,2
135,1971,5,0,0,0,No,1,3,1,1,4,3,middle class,1.074945029,Baden-Wurttemberg,Protestant,Germans,5,Eth,Working full time,Age4564,3,LessBach,5
136,1957,5,0,0,1,No,NA,3,1,2,2,2,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,NA,Reg,Retired,Age4564,3,LessBach,0
137,1967,7,0,1,1,No,1,4,2,2,3,2,affluent people,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working full time,Age4564,5,LessBach,1
138,1970,3,0,1,1,No,1,3,2,2,2,3,middle class,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working full time,Age4564,3,LessBach,1
139,1952,2,0,1,0,Not Employed,1,3,1,1,1,1,working class,1.074945029,Baden-Wurttemberg,Other,Germans,NA,Reg,Retired,Age4564,4,LessBach,0
140,1962,6,0,1,1,No,1,3,1,1,1,1,affluent people,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age4564,2,LessBach,1
141,1958,1,0,0,0,No,1,3,1,1,1,1,working class,1.074945029,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,Retired,Age4564,2,LessBach,0
142,1966,1,0,1,0,No,1,4,1,2,1,2,working class,1.074945029,Baden-Wurttemberg,Catholic,Germans,NA,Ctl,Retired,Age4564,3,LessBach,0
143,1963,6,0,0,1,No,1,3,1,2,3,2,affluent people,1.074945029,Baden-Wurttemberg,Catholic,Germans,NA,Ctl,"Unemployed, looking for work",Age4564,4,LessBach,0
144,1955,5,0,1,1,Yes,1,4,1,4,3,4,middle class,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working full time,Age4564,1,LessBach,1
145,1969,4,0,1,0,No,NA,2,3,2,2,2,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working full time,Age4564,4,LessBach,1
146,1959,1,0,0,0,No,1,2,4,4,4,4,working class,1.074945029,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,Retired,Age4564,7,LessBach,0
147,1958,4,0,0,1,No,NA,3,1,3,3,2,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,1,Reg,Working full time,Age4564,3,LessBach,1
148,1964,6,0,1,0,Not Employed,NA,1,1,3,1,3,affluent people,1.074945029,Baden-Wurttemberg,Non-religious,Germans,NA,Reg,Retired,Age4564,4,LessBach,0
149,1957,1,0,0,0,No,1,3,2,3,3,4,working class,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Ctl,Working part-time,Age4564,6,LessBach,1
150,1966,6,0,1,1,No,1,3,1,4,4,4,affluent people,1.074945029,Baden-Wurttemberg,Catholic,Germans,2,Eth,Working full time,Age4564,1,LessBach,2
151,1968,7,0,0,1,No,2,3,3,3,3,3,affluent people,1.074945029,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working part-time,Age4564,5,LessBach,1
152,1961,5,0,0,1,Not Employed,1,1,3,2,3,4,middle class,1.074945029,Baden-Wurttemberg,Protestant,Germans,NA,Ctl,Retired,Age4564,3,LessBach,0
153,1958,2,0,1,0,Not Employed,1,4,1,3,3,3,working class,1.074945029,Baden-Wurttemberg,Catholic,Germans,NA,Eth,Retired,Age4564,2,LessBach,0
154,1952,4,0,0,0,No,NA,3,1,3,3,3,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,NA,Eth,Retired,Age4564,4,LessBach,0
155,1954,4,0,0,0,No,1,3,1,1,3,1,middle class,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Eth,Working part-time,Age4564,2,LessBach,1
156,1957,7,0,1,1,No,2,4,2,2,1,2,affluent people,1.074945029,Baden-Wurttemberg,Catholic,Germans,1,Reg,Working part-time,Age4564,5,LessBach,1
157,1964,5,0,1,0,Yes,2,2,2,4,4,3,middle class,1.074945029,Baden-Wurttemberg,Protestant,Germans,1,Reg,Working full time,Age4564,5,LessBach,1
158,1961,4,0,0,0,No,2,3,3,4,4,4,middle class,1.074945029,Baden-Wurttemberg,Protestant,Germans,1,Eth,Working full time,Age4564,1,LessBach,1
159,1971,4,0,1,0,No,1,3,4,4,4,4,middle class,1.074945029,Baden-Wurttemberg,Protestant,Germans,NA,Reg,Retired,Age4564,5,LessBach,0
160,1962,3,0,0,1,No,1,1,1,2,1,4,middle class,1.074945029,Baden-Wurttemberg,Protestant,Germans,3,Ctl,Working part-time,Age4564,6,LessBach,3
161,1957,3,0,1,1,No,NA,1,1,4,4,4,middle class,1.074945029,Baden-Wurttemberg,Non-religious,Germans,1,Eth,Working full time,Age4564,7,LessBach,1
