X,yob,incnum,Bachelor,Male,marital,union,relfreq,moreno,religionlink,regionlink,classlink,racelink,respondent_class,weight,region,religion,race,joblossnum,taxarg,employment,agecat,taxnum,educsimple,jl2,province
31,1993,5,1,1,0,No,4,3,4,2,2,2,middle class,0.232451725,Alberta,Other Christian,White,NA,Reg,Student,Age1524,2,BachPlus,0,Alberta
32,1997,1,0,0,0,No,4,3,4,4,1,4,working class,0.567724897,Alberta,Other Christian,White,5,Reg,Working part-time,Age1524,4,HS,5,Alberta
33,1982,7,1,1,0,No,NA,3,3,3,3,3,affluent people,0.193696258,Alberta,Non-religious, Chinese,1,Reg,Working full time,Age2544,4,BachPlus,1,Alberta
34,1980,7,1,0,1,No,NA,3,4,4,4,3,affluent people,0.193696258,Alberta,Non-religious, Chinese,3,Eth,Working full time,Age2544,3,BachPlus,3,Alberta
35,1982,7,1,1,0,No,NA,NA,3,2,2,2,affluent people,0.193696258,Alberta,Non-religious, Chinese,2,Ctl,Working full time,Age2544,4,BachPlus,2,Alberta
36,1992,7,0,0,0,No,NA,3,3,3,3,3,affluent people,0.218217716,Alberta,Non-religious, Chinese,NA,Eth,Student,Age2544,5,PostSec,0,Alberta
37,1977,4,0,0,0,Not Employed,NA,3,2,2,3,2,middle class,0.218217716,Alberta,Non-religious, Chinese,NA,Reg,"Unemployed, looking for work",Age2544,2,PostSec,0,Alberta
38,1989,7,0,0,0,No,2,3,3,3,3,3,affluent people,0.281383622,Alberta,Catholic, Chinese,1,Ctl,Working full time,Age2544,6,PostSec,1,Alberta
39,1976,2,0,1,1,No,2,3,2,2,2,2,working class,0.281383622,Alberta,Catholic, Chinese,2,Ctl,Working full time,Age2544,5,PostSec,2,Alberta
40,1983,5,1,0,1,No,NA,3,1,3,3,1,middle class,0.189071722,Alberta,Non-religious, Chinese,1,Eth,Working full time,Age2544,4,BachPlus,1,Alberta
41,1983,5,1,0,0,No,NA,3,4,4,4,4,middle class,0.189071722,Alberta,Non-religious, Chinese,4,Reg,Working full time,Age2544,4,BachPlus,4,Alberta
42,1981,1,0,0,1,No,NA,1,2,1,2,3,working class,0.212931841,Alberta,Non-religious, Chinese,NA,Reg,"Unemployed, looking for work",Age2544,3,PostSec,0,Alberta
43,1986,3,0,1,0,No,NA,NA,1,1,1,1,working class,0.212931841,Alberta,Non-religious, Chinese,3,Reg,Working full time,Age2544,1,PostSec,3,Alberta
44,1986,4,0,0,0,No,2,3,2,4,4,3,middle class,0.212931841,Alberta,Buddhist, Chinese,3,Reg,Working full time,Age2544,5,PostSec,3,Alberta
45,1984,7,0,1,1,No,2,2,2,2,2,4,affluent people,0.212931841,Alberta,Other Christian, Chinese,3,Reg,Working full time,Age2544,3,PostSec,3,Alberta
46,1985,3,1,0,1,No,4,1,3,3,3,3,working class,0.450482141,Alberta,Catholic,Black,NA,Eth,Other,Age2544,6,BachPlus,0,Alberta
47,1979,1,1,1,0,No,1,2,3,3,3,3,working class,0.450482141,Alberta,Muslim,Black,NA,Reg,Student,Age2544,2,BachPlus,0,Alberta
48,1977,7,1,0,1,No,4,2,4,3,2,4,affluent people,0.450482141,Alberta,Other Christian,Black,2,Ctl,Working full time,Age2544,4,BachPlus,2,Alberta
49,1990,3,0,1,0,Yes,NA,4,2,2,3,2,working class,1.133474535,Alberta,Non-religious,Other,1,Eth,Working part-time,Age2544,5,HS,1,Alberta
50,1992,2,1,0,0,No,1,NA,4,3,4,4,working class,0.588503991,Alberta,Buddhist,Other,1,Eth,Working part-time,Age2544,7,BachPlus,1,Alberta
51,1986,4,0,1,0,No,1,5,4,4,2,4,middle class,1.491616361,Alberta,Other Christian,"Aboriginal (First Nations, M??tis or Inuit)",3,Ctl,Working part-time,Age2544,2,HS,3,Alberta
52,1977,4,0,0,0,No,1,3,1,3,3,3,middle class,1.491616361,Alberta,United Church,"Aboriginal (First Nations, M??tis or Inuit)",2,Eth,Working full time,Age2544,1,HS,2,Alberta
53,1983,4,1,1,0,No,2,3,4,4,4,4,middle class,0.438932141,Alberta,Other,Other,NA,Ctl,Student,Age2544,7,BachPlus,0,Alberta
54,1981,6,0,0,1,No,1,2,3,3,3,3,middle class,0.49852393,Alberta,Hindu,Other,4,Reg,Working full time,Age2544,5,PostSec,4,Alberta
55,1978,1,1,0,0,Not Employed,3,3,2,4,4,2,working class,0.266349077,Alberta,Hindu,South Asian,NA,Reg,"Unemployed, looking for work",Age2544,3,BachPlus,0,Alberta
56,1977,5,1,0,1,No,2,2,3,3,3,1,middle class,0.266349077,Alberta,Hindu,South Asian,NA,Ctl,"Unemployed, looking for work",Age2544,6,BachPlus,0,Alberta
57,1975,1,0,0,0,No,NA,NA,2,2,2,2,working class,0.301260363,Alberta,Non-religious,South Asian,NA,Reg,Student,Age2544,4,PostSec,0,Alberta
58,1986,7,1,1,1,No,NA,3,3,3,3,3,affluent people,0.259765109,Alberta,Non-religious,South Asian,2,Reg,Working full time,Age2544,4,BachPlus,2,Alberta
59,1989,3,1,0,1,No,2,2,3,4,4,2,working class,0.259765109,Alberta,Sikh,South Asian,1,Eth,Working part-time,Age2544,3,BachPlus,1,Alberta
60,1992,5,0,0,0,No,NA,1,2,3,3,2,middle class,0.293734844,Alberta,Non-religious,South Asian,2,Ctl,Working full time,Age2544,5,PostSec,2,Alberta
61,1981,2,1,0,0,Yes,3,3,1,1,1,1,working class,0.33106536,Alberta,Other Christian,White,NA,Reg,Student,Age2544,3,BachPlus,0,Alberta
62,1979,5,1,1,1,No,NA,3,1,1,1,1,middle class,0.33106536,Alberta,Non-religious,White,2,Ctl,Working full time,Age2544,2,BachPlus,2,Alberta
63,1978,7,1,1,1,No,NA,2,3,3,2,2,affluent people,0.33106536,Alberta,Non-religious,White,2,Reg,Working full time,Age2544,7,BachPlus,2,Alberta
64,1988,7,1,0,0,No,NA,3,1,3,2,4,affluent people,0.430600661,Alberta,Non-religious,White,1,Reg,Working full time,Age2544,4,BachPlus,1,Alberta
65,1992,4,1,0,0,No,NA,2,2,3,3,3,middle class,0.430600661,Alberta,Non-religious,White,NA,Reg,"Unemployed, looking for work",Age2544,3,BachPlus,0,Alberta
66,1980,7,1,0,1,Yes,NA,3,2,3,3,3,affluent people,0.430600661,Alberta,Non-religious,White,1,Eth,Working full time,Age2544,3,BachPlus,1,Alberta
67,1989,7,1,0,1,No,NA,3,2,4,4,4,affluent people,0.430600661,Alberta,Non-religious,White,1,Reg,Working full time,Age2544,2,BachPlus,1,Alberta
68,1990,7,1,0,1,No,NA,3,3,3,3,2,affluent people,0.430600661,Alberta,Non-religious,White,1,Reg,Working full time,Age2544,1,BachPlus,1,Alberta
69,1985,6,1,1,0,No,NA,4,2,3,3,2,middle class,0.430600661,Alberta,Non-religious,White,1,Ctl,Working full time,Age2544,2,BachPlus,1,Alberta
70,1987,6,1,0,1,Yes,NA,3,2,4,4,2,middle class,0.430600661,Alberta,Non-religious,White,1,Eth,Working part-time,Age2544,1,BachPlus,1,Alberta
71,1989,7,1,0,1,No,2,3,3,2,2,2,affluent people,0.430600661,Alberta,Other Christian,White,1,Eth,Working full time,Age2544,1,BachPlus,1,Alberta
72,1980,7,1,0,1,Yes,2,2,3,3,3,4,affluent people,0.430600661,Alberta,Catholic,White,1,Reg,Working full time,Age2544,1,BachPlus,1,Alberta
73,1984,7,1,1,1,No,3,4,2,3,3,4,affluent people,0.430600661,Alberta,Catholic,White,4,Ctl,Working full time,Age2544,7,BachPlus,4,Alberta
74,1988,7,1,0,1,No,2,1,3,2,3,1,affluent people,0.430600661,Alberta,Catholic,White,2,Ctl,Working full time,Age2544,4,BachPlus,2,Alberta
75,1983,7,1,0,1,Yes,4,4,4,4,4,4,affluent people,0.430600661,Alberta,Catholic,White,5,Reg,Working full time,Age2544,7,BachPlus,5,Alberta
76,1977,5,1,0,1,No,NA,4,3,4,4,4,middle class,0.430600661,Alberta,Non-religious,White,NA,Ctl,"Unemployed, looking for work",Age2544,2,BachPlus,0,Alberta
77,1979,3,1,1,0,No,2,3,3,1,2,2,working class,0.430600661,Alberta,United Church,White,2,Reg,Working full time,Age2544,4,BachPlus,2,Alberta
78,1983,7,1,0,1,Yes,4,5,3,4,4,4,affluent people,0.430600661,Alberta,Catholic,White,5,Reg,Working full time,Age2544,7,BachPlus,5,Alberta
79,1975,5,1,0,1,No,2,4,3,3,3,1,middle class,0.430600661,Alberta,Other Christian,White,NA,Reg,Other,Age2544,2,BachPlus,0,Alberta
80,1987,7,1,1,1,No,1,4,1,3,2,1,affluent people,0.430600661,Alberta,Catholic,White,1,Ctl,Working full time,Age2544,6,BachPlus,1,Alberta
81,1977,7,1,1,1,No,NA,1,2,3,3,2,affluent people,0.430600661,Alberta,Non-religious,White,1,Eth,Working full time,Age2544,4,BachPlus,1,Alberta
82,1991,7,1,0,1,No,NA,2,2,3,1,1,affluent people,0.430600661,Alberta,Non-religious,White,1,Reg,Working full time,Age2544,3,BachPlus,1,Alberta
83,1990,5,1,0,0,No,4,4,4,4,4,4,middle class,0.430600661,Alberta,Other Christian,White,1,Ctl,Working full time,Age2544,2,BachPlus,1,Alberta
84,1990,7,1,0,1,No,4,2,2,1,1,3,affluent people,0.430600661,Alberta,Catholic,White,4,Reg,Working full time,Age2544,5,BachPlus,4,Alberta
85,1992,5,1,0,1,No,4,3,2,3,4,4,middle class,0.430600661,Alberta,Catholic,White,1,Eth,Working full time,Age2544,5,BachPlus,1,Alberta
86,1988,7,1,0,0,No,NA,3,1,3,2,3,affluent people,0.430600661,Alberta,Non-religious,White,1,Ctl,Working full time,Age2544,1,BachPlus,1,Alberta
87,1981,6,1,1,1,No,NA,2,4,3,3,3,middle class,0.430600661,Alberta,Non-religious,White,2,Eth,Working full time,Age2544,3,BachPlus,2,Alberta
88,1988,7,1,0,1,No,2,2,3,3,3,3,affluent people,0.430600661,Alberta,Catholic,White,3,Ctl,Working full time,Age2544,4,BachPlus,3,Alberta
89,1975,6,1,1,0,No,NA,2,2,3,4,2,middle class,0.430600661,Alberta,Non-religious,White,2,Eth,Working part-time,Age2544,5,BachPlus,2,Alberta
90,1985,7,1,0,1,Yes,NA,1,2,2,3,3,affluent people,0.430600661,Alberta,Non-religious,White,2,Ctl,Working full time,Age2544,7,BachPlus,2,Alberta
91,1985,6,1,1,1,Yes,4,3,4,4,4,4,middle class,0.430600661,Alberta,Buddhist,White,4,Eth,Working full time,Age2544,3,BachPlus,4,Alberta
92,1992,1,0,0,0,Not Employed,1,2,4,3,4,4,working class,1.081885678,Alberta,Other,White,NA,Ctl,"Unemployed, looking for work",Age2544,5,HS,0,Alberta
93,1978,1,0,0,0,No,NA,3,2,4,4,3,working class,1.081885678,Alberta,Non-religious,White,NA,Reg,Other,Age2544,5,HS,0,Alberta
94,1984,3,0,0,0,No,1,3,2,4,4,4,working class,1.081885678,Alberta,Catholic,White,3,Eth,Working full time,Age2544,1,HS,3,Alberta
95,1974,7,0,1,1,No,NA,2,1,3,2,2,affluent people,1.081885678,Alberta,Non-religious,White,1,Ctl,Working full time,Age2544,5,HS,1,Alberta
96,1978,7,0,0,1,No,1,2,2,2,3,2,affluent people,1.081885678,Alberta,Other Christian,White,2,Eth,Working full time,Age2544,7,HS,2,Alberta
97,1980,5,0,0,0,No,1,3,3,4,4,4,middle class,1.081885678,Alberta,Other Christian,White,1,Eth,Working full time,Age2544,1,HS,1,Alberta
98,1978,5,0,0,0,Yes,NA,1,2,3,3,3,middle class,1.081885678,Alberta,Non-religious,White,2,Ctl,Working full time,Age2544,5,HS,2,Alberta
99,1976,7,0,0,1,No,NA,1,4,4,2,4,affluent people,1.081885678,Alberta,Non-religious,White,1,Eth,Working full time,Age2544,3,HS,1,Alberta
100,1981,3,0,0,0,No,2,3,2,2,2,2,working class,1.081885678,Alberta,Anglican,White,1,Eth,On a long-term leave,Age2544,5,HS,1,Alberta
101,1983,2,0,0,0,No,NA,3,3,3,3,4,working class,1.081885678,Alberta,Non-religious,White,1,Eth,Working part-time,Age2544,1,HS,1,Alberta
102,1976,6,0,1,1,No,1,3,1,3,3,2,middle class,1.081885678,Alberta,Catholic,White,1,Reg,Working full time,Age2544,3,HS,1,Alberta
103,1987,6,0,0,1,Not Employed,2,4,3,3,3,3,middle class,1.081885678,Alberta,Other Christian,White,NA,Ctl,Other,Age2544,2,HS,0,Alberta
104,1989,4,0,0,1,No,4,2,4,4,4,2,middle class,1.081885678,Alberta,Other Christian,White,1,Reg,Working part-time,Age2544,2,HS,1,Alberta
105,1980,5,0,1,0,Yes,2,2,3,3,4,2,middle class,1.081885678,Alberta,Catholic,White,1,Reg,Working full time,Age2544,5,HS,1,Alberta
106,1985,5,0,0,1,Not Employed,NA,3,1,3,2,2,middle class,1.081885678,Alberta,Non-religious,White,NA,Ctl,Other,Age2544,4,HS,0,Alberta
107,1976,5,0,0,0,Yes,2,1,1,1,3,1,middle class,1.081885678,Alberta,Catholic,White,2,Reg,Working full time,Age2544,2,HS,2,Alberta
108,1985,4,0,0,1,Yes,NA,1,2,2,2,2,middle class,1.081885678,Alberta,Non-religious,White,2,Ctl,Working full time,Age2544,6,HS,2,Alberta
109,1990,7,0,0,0,Yes,NA,2,3,4,3,3,affluent people,1.081885678,Alberta,Non-religious,White,3,Reg,Working full time,Age2544,1,HS,3,Alberta
110,1985,5,0,0,1,No,NA,3,2,3,3,3,middle class,1.081885678,Alberta,Non-religious,White,NA,Reg,Other,Age2544,4,HS,0,Alberta
111,1987,3,0,0,1,No,NA,2,1,3,4,2,working class,1.081885678,Alberta,Non-religious,White,NA,Ctl,Other,Age2544,6,HS,0,Alberta
112,1988,4,0,0,0,No,NA,3,3,3,3,3,middle class,1.081885678,Alberta,Non-religious,White,NA,Reg,"Unemployed, looking for work",Age2544,4,HS,0,Alberta
113,1990,5,0,1,1,Yes,3,5,4,4,3,3,middle class,1.081885678,Alberta,Anglican,White,1,Reg,Working full time,Age2544,7,HS,1,Alberta
114,1989,2,0,0,1,Not Employed,1,5,3,4,2,2,working class,1.081885678,Alberta,Catholic,White,NA,Ctl,Student,Age2544,3,HS,0,Alberta
115,1984,1,0,0,0,No,1,3,4,3,4,3,working class,1.081885678,Alberta,Buddhist,White,NA,Ctl,"Unemployed, looking for work",Age2544,4,HS,0,Alberta
116,1983,4,0,0,0,No,NA,3,3,3,3,3,middle class,0.489000995,Alberta,Non-religious,White,1,Ctl,Working full time,Age2544,5,PostSec,1,Alberta
117,1988,5,0,0,0,Yes,NA,4,2,4,4,4,middle class,0.489000995,Alberta,Non-religious,White,1,Reg,Working full time,Age2544,1,PostSec,1,Alberta
118,1987,6,0,0,1,Yes,NA,2,3,3,3,3,middle class,0.489000995,Alberta,Non-religious,White,2,Ctl,Working full time,Age2544,5,PostSec,2,Alberta
119,1987,1,0,0,0,No,4,1,3,3,3,3,working class,0.489000995,Alberta,Other Christian,White,2,Eth,Working part-time,Age2544,4,PostSec,2,Alberta
120,1981,5,0,1,1,Yes,3,5,4,3,3,2,middle class,0.489000995,Alberta,Catholic,White,4,Eth,Working full time,Age2544,6,PostSec,4,Alberta
121,1988,5,0,0,1,Yes,4,3,4,4,3,4,middle class,0.489000995,Alberta,Other Christian,White,1,Reg,Working part-time,Age2544,3,PostSec,1,Alberta
122,1986,7,0,0,1,No,NA,2,2,2,2,2,affluent people,0.489000995,Alberta,Non-religious,White,NA,Ctl,"Unemployed, looking for work",Age2544,2,PostSec,0,Alberta
123,1987,5,0,0,1,No,2,5,2,2,2,2,middle class,0.489000995,Alberta,Other Christian,White,3,Reg,Working full time,Age2544,4,PostSec,3,Alberta
124,1990,7,0,1,0,Yes,2,3,2,3,3,4,affluent people,0.489000995,Alberta,Other,White,3,Reg,Working part-time,Age2544,6,PostSec,3,Alberta
125,1979,7,0,0,1,No,1,5,2,2,2,1,affluent people,0.489000995,Alberta,United Church,White,1,Eth,Working full time,Age2544,1,PostSec,1,Alberta
126,1987,5,0,0,1,No,2,3,4,2,2,2,middle class,0.489000995,Alberta,Other Christian,White,NA,Ctl,Other,Age2544,2,PostSec,0,Alberta
127,1987,7,0,0,1,No,3,3,3,2,4,2,affluent people,0.489000995,Alberta,Other Christian,White,2,Eth,Working full time,Age2544,4,PostSec,2,Alberta
128,1985,7,0,0,0,Yes,1,5,4,3,3,3,affluent people,0.489000995,Alberta,Other Christian,White,1,Ctl,Working full time,Age2544,7,PostSec,1,Alberta
129,1986,5,0,0,1,No,NA,2,2,3,4,2,middle class,0.489000995,Alberta,Non-religious,White,NA,Reg,Other,Age2544,4,PostSec,0,Alberta
130,1984,3,0,0,0,No,NA,4,2,3,3,2,working class,0.489000995,Alberta,Non-religious,White,1,Ctl,Working full time,Age2544,4,PostSec,1,Alberta
131,1979,6,0,0,1,No,NA,3,4,4,4,4,middle class,0.489000995,Alberta,Non-religious,White,NA,Eth,Other,Age2544,1,PostSec,0,Alberta
132,1984,4,0,1,1,No,NA,1,1,1,4,3,middle class,0.489000995,Alberta,Non-religious,White,1,Eth,Working full time,Age2544,1,PostSec,1,Alberta
133,1982,4,0,1,0,No,4,3,4,4,4,4,middle class,0.489000995,Alberta,Other,White,NA,Ctl,"Unemployed, looking for work",Age2544,1,PostSec,0,Alberta
134,1977,7,0,1,1,No,1,4,3,4,3,4,affluent people,0.489000995,Alberta,Catholic,White,3,Ctl,Working full time,Age2544,1,PostSec,3,Alberta
135,1983,1,0,0,0,No,NA,3,2,1,2,1,working class,0.489000995,Alberta,Non-religious,White,NA,Eth,"Unemployed, looking for work",Age2544,1,PostSec,0,Alberta
136,1983,7,0,0,1,No,NA,3,3,3,3,3,affluent people,0.489000995,Alberta,Non-religious,White,1,Eth,Working full time,Age2544,3,PostSec,1,Alberta
137,1977,7,0,1,1,No,1,2,2,3,3,3,affluent people,0.489000995,Alberta,Catholic,White,1,Eth,Working full time,Age2544,3,PostSec,1,Alberta
138,1986,3,0,0,0,No,NA,3,1,4,3,2,working class,0.489000995,Alberta,Non-religious,White,NA,Ctl,Other,Age2544,3,PostSec,0,Alberta
139,1987,4,0,0,0,Yes,1,3,4,4,4,4,middle class,0.489000995,Alberta,Other,White,1,Eth,Working full time,Age2544,6,PostSec,1,Alberta
140,1983,6,0,0,0,Yes,2,4,2,3,4,4,middle class,0.489000995,Alberta,Other,White,1,Eth,Working full time,Age2544,3,PostSec,1,Alberta
141,1987,5,0,0,1,No,2,5,2,2,2,2,middle class,0.489000995,Alberta,Other Christian,White,3,Eth,Working full time,Age2544,4,PostSec,3,Alberta
142,1977,7,0,0,1,No,1,3,2,4,2,4,affluent people,0.489000995,Alberta,Other Christian,White,1,Reg,Working full time,Age2544,4,PostSec,1,Alberta
143,1974,5,0,0,0,No,4,3,4,4,4,3,middle class,0.489000995,Alberta,Other Christian,White,1,Reg,Working full time,Age2544,3,PostSec,1,Alberta
144,1988,5,1,0,0,No,NA,NA,3,3,3,3,middle class,0.322736006,Alberta,Non-religious,White,2,Ctl,Working part-time,Age2544,2,BachPlus,2,Alberta
145,1980,7,1,1,1,,NA,NA,NA,NA,NA,NA,,0.322736006,Alberta,,White,NA,Reg,Working full time,Age2544,7,BachPlus,0,Alberta
146,1982,4,1,0,0,No,NA,3,3,4,4,4,middle class,0.322736006,Alberta,Non-religious,White,2,Ctl,Working full time,Age2544,1,BachPlus,2,Alberta
147,1980,7,1,1,1,,NA,NA,NA,NA,NA,NA,,0.322736006,Alberta,,White,NA,Eth,Working full time,Age2544,7,BachPlus,0,Alberta
148,1987,7,1,1,1,No,4,4,2,2,4,3,affluent people,0.322736006,Alberta,Other Christian,White,2,Reg,Working full time,Age2544,1,BachPlus,2,Alberta
149,1991,3,1,0,0,Yes,1,1,2,1,1,1,working class,0.322736006,Alberta,Catholic,White,1,Eth,Working full time,Age2544,7,BachPlus,1,Alberta
150,1988,7,1,0,1,Yes,NA,4,3,4,3,3,affluent people,0.322736006,Alberta,Non-religious,White,2,Eth,Working full time,Age2544,1,BachPlus,2,Alberta
151,1980,7,1,1,1,,NA,NA,NA,NA,NA,NA,,0.322736006,Alberta,,White,NA,Reg,Working full time,Age2544,7,BachPlus,0,Alberta
152,1981,6,1,0,1,No,2,2,2,4,4,3,middle class,0.322736006,Alberta,Catholic,White,NA,Eth,Other,Age2544,5,BachPlus,0,Alberta
153,1980,7,1,1,1,,NA,NA,NA,NA,NA,NA,,0.322736006,Alberta,,White,NA,Ctl,Working full time,Age2544,7,BachPlus,0,Alberta
154,1980,7,0,0,1,No,3,3,3,3,3,3,affluent people,0.801996336,Alberta,Catholic,White,NA,Ctl,Other,Age2544,1,HS,0,Alberta
155,1988,7,0,0,1,No,NA,5,2,3,3,3,affluent people,0.801996336,Alberta,Non-religious,White,1,Reg,Working full time,Age2544,1,HS,1,Alberta
156,1984,7,0,0,1,No,2,1,2,3,3,3,affluent people,0.36571099,Alberta,Buddhist,White,1,Reg,Working full time,Age2544,3,PostSec,1,Alberta
157,1985,5,0,0,0,Not Employed,NA,3,3,4,4,3,middle class,0.36571099,Alberta,Non-religious,White,NA,Reg,"Unemployed, looking for work",Age2544,2,PostSec,0,Alberta
158,1985,5,0,1,1,No,4,3,3,4,4,4,middle class,0.36571099,Alberta,Other Christian,White,2,Ctl,Working full time,Age2544,5,PostSec,2,Alberta
159,1971,1,1,1,0,Not Employed,NA,1,4,4,3,3,working class,0.189519944,Alberta,Non-religious, Chinese,4,Ctl,Working full time,Age4564,6,BachPlus,4,Alberta
160,1954,2,1,1,0,Not Employed,4,1,4,3,4,4,working class,0.189519944,Alberta,Buddhist, Chinese,NA,Ctl,Retired,Age4564,6,BachPlus,0,Alberta
161,1968,7,1,1,1,No,4,2,4,2,4,4,affluent people,0.125,Alberta,Catholic, Chinese,1,Ctl,Working full time,Age4564,2,BachPlus,1,Alberta
162,1965,3,0,1,0,No,1,3,2,2,4,3,working class,0.162937312,Alberta,Buddhist, Chinese,3,Ctl,Working full time,Age4564,3,PostSec,3,Alberta
163,1970,2,0,0,1,No,1,NA,1,3,2,2,working class,0.84215576,Alberta,Other Christian,Black,NA,Reg,Student,Age4564,3,HS,0,Alberta
164,1969,6,0,0,1,No,NA,4,3,2,3,4,middle class,0.383401037,Alberta,Non-religious,Other,3,Ctl,Working full time,Age4564,1,PostSec,3,Alberta
165,1953,3,0,1,0,No,1,2,1,2,3,2,working class,1.106409158,Alberta,Catholic,"Aboriginal (First Nations, M??tis or Inuit)",NA,Ctl,Retired,Age4564,3,HS,0,Alberta
